"Step","restful-grass-361 - decoder_loss","restful-grass-361 - decoder_loss__MIN","restful-grass-361 - decoder_loss__MAX","polar-wave-360 - decoder_loss","polar-wave-360 - decoder_loss__MIN","polar-wave-360 - decoder_loss__MAX","fanciful-lion-357 - decoder_loss","fanciful-lion-357 - decoder_loss__MIN","fanciful-lion-357 - decoder_loss__MAX","peachy-lake-322 - decoder_loss","peachy-lake-322 - decoder_loss__MIN","peachy-lake-322 - decoder_loss__MAX","fast-field-321 - decoder_loss","fast-field-321 - decoder_loss__MIN","fast-field-321 - decoder_loss__MAX","proud-plant-319 - decoder_loss","proud-plant-319 - decoder_loss__MIN","proud-plant-319 - decoder_loss__MAX","fresh-totem-319 - decoder_loss","fresh-totem-319 - decoder_loss__MIN","fresh-totem-319 - decoder_loss__MAX","lunar-grass-318 - decoder_loss","lunar-grass-318 - decoder_loss__MIN","lunar-grass-318 - decoder_loss__MAX","graceful-night-317 - decoder_loss","graceful-night-317 - decoder_loss__MIN","graceful-night-317 - decoder_loss__MAX","different-leaf-278 - decoder_loss","different-leaf-278 - decoder_loss__MIN","different-leaf-278 - decoder_loss__MAX"
"12","4.764687538146973","4.764687538146973","4.764687538146973","5.412127494812012","5.412127494812012","5.412127494812012","4.936305046081543","4.936305046081543","4.936305046081543","5.304111957550049","5.304111957550049","5.304111957550049","5.448075294494629","5.448075294494629","5.448075294494629","5.499882698059082","5.499882698059082","5.499882698059082","5.403099536895752","5.403099536895752","5.403099536895752","5.449610710144043","5.449610710144043","5.449610710144043","5.524311542510986","5.524311542510986","5.524311542510986","5.467031478881836","5.467031478881836","5.467031478881836"
"13","4.826444149017334","4.826444149017334","4.826444149017334","5.523428440093994","5.523428440093994","5.523428440093994","5.009533405303955","5.009533405303955","5.009533405303955","5.4074883460998535","5.4074883460998535","5.4074883460998535","5.557088851928711","5.557088851928711","5.557088851928711","5.612562656402588","5.612562656402588","5.612562656402588","5.513754844665527","5.513754844665527","5.513754844665527","5.563618183135986","5.563618183135986","5.563618183135986","5.638708591461182","5.638708591461182","5.638708591461182","5.582276344299316","5.582276344299316","5.582276344299316"
"14","4.158212184906006","4.158212184906006","4.158212184906006","4.800149440765381","4.800149440765381","4.800149440765381","4.323247909545898","4.323247909545898","4.323247909545898","4.69362735748291","4.69362735748291","4.69362735748291","4.8249030113220215","4.8249030113220215","4.8249030113220215","4.876800060272217","4.876800060272217","4.876800060272217","4.791235446929932","4.791235446929932","4.791235446929932","4.837111949920654","4.837111949920654","4.837111949920654","4.901494979858398","4.901494979858398","4.901494979858398","4.8542962074279785","4.8542962074279785","4.8542962074279785"
"15","4.767436504364014","4.767436504364014","4.767436504364014","5.503523349761963","5.503523349761963","5.503523349761963","4.962767124176025","4.962767124176025","4.962767124176025","5.3785014152526855","5.3785014152526855","5.3785014152526855","5.551019191741943","5.551019191741943","5.551019191741943","5.610479831695557","5.610479831695557","5.610479831695557","5.493057727813721","5.493057727813721","5.493057727813721","5.546911239624023","5.546911239624023","5.546911239624023","5.638673782348633","5.638673782348633","5.638673782348633","5.56707763671875","5.56707763671875","5.56707763671875"
"16","4.645361423492432","4.645361423492432","4.645361423492432","5.331291198730469","5.331291198730469","5.331291198730469","4.826172828674316","4.826172828674316","4.826172828674316","5.213818550109863","5.213818550109863","5.213818550109863","5.371953010559082","5.371953010559082","5.371953010559082","5.427803993225098","5.427803993225098","5.427803993225098","5.321479797363281","5.321479797363281","5.321479797363281","5.372063636779785","5.372063636779785","5.372063636779785","5.45430850982666","5.45430850982666","5.45430850982666","5.390995979309082","5.390995979309082","5.390995979309082"
"17","4.437967300415039","4.437967300415039","4.437967300415039","5.074502468109131","5.074502468109131","5.074502468109131","4.605311870574951","4.605311870574951","4.605311870574951","4.968904495239258","4.968904495239258","4.968904495239258","5.105821132659912","5.105821132659912","5.105821132659912","5.15679931640625","5.15679931640625","5.15679931640625","5.0656843185424805","5.0656843185424805","5.0656843185424805","5.111018657684326","5.111018657684326","5.111018657684326","5.180874347686768","5.180874347686768","5.180874347686768","5.127971172332764","5.127971172332764","5.127971172332764"
"18","4.718075275421143","4.718075275421143","4.718075275421143","5.3924078941345215","5.3924078941345215","5.3924078941345215","4.895435333251953","4.895435333251953","4.895435333251953","5.2779741287231445","5.2779741287231445","5.2779741287231445","5.430457592010498","5.430457592010498","5.430457592010498","5.484898090362549","5.484898090362549","5.484898090362549","5.382846832275391","5.382846832275391","5.382846832275391","5.432116508483887","5.432116508483887","5.432116508483887","5.5106587409973145","5.5106587409973145","5.5106587409973145","5.450586795806885","5.450586795806885","5.450586795806885"
"19","4.598146915435791","4.598146915435791","4.598146915435791","5.2936482429504395","5.2936482429504395","5.2936482429504395","4.777898788452148","4.777898788452148","4.777898788452148","5.179790496826172","5.179790496826172","5.179790496826172","5.319205284118652","5.319205284118652","5.319205284118652","5.374691486358643","5.374691486358643","5.374691486358643","5.284143447875977","5.284143447875977","5.284143447875977","5.333120346069336","5.333120346069336","5.333120346069336","5.400951862335205","5.400951862335205","5.400951862335205","5.351441860198975","5.351441860198975","5.351441860198975"
"20","4.462981700897217","4.462981700897217","4.462981700897217","5.0839362144470215","5.0839362144470215","5.0839362144470215","4.627285957336426","4.627285957336426","4.627285957336426","4.979426860809326","4.979426860809326","4.979426860809326","5.119895935058594","5.119895935058594","5.119895935058594","5.170042514801025","5.170042514801025","5.170042514801025","5.07521915435791","5.07521915435791","5.07521915435791","5.12017297744751","5.12017297744751","5.12017297744751","5.193775653839111","5.193775653839111","5.193775653839111","5.137012004852295","5.137012004852295","5.137012004852295"
"21","4.194830894470215","4.194830894470215","4.194830894470215","4.818458080291748","4.818458080291748","4.818458080291748","4.35767936706543","4.35767936706543","4.35767936706543","4.713679313659668","4.713679313659668","4.713679313659668","4.850130558013916","4.850130558013916","4.850130558013916","4.900545597076416","4.900545597076416","4.900545597076416","4.809686660766602","4.809686660766602","4.809686660766602","4.854843616485596","4.854843616485596","4.854843616485596","4.924460411071777","4.924460411071777","4.924460411071777","4.8717474937438965","4.8717474937438965","4.8717474937438965"
"22","4.875721454620361","4.875721454620361","4.875721454620361","5.578027248382568","5.578027248382568","5.578027248382568","5.061142921447754","5.061142921447754","5.061142921447754","5.459411144256592","5.459411144256592","5.459411144256592","5.618681907653809","5.618681907653809","5.618681907653809","5.675149917602539","5.675149917602539","5.675149917602539","5.568113803863525","5.568113803863525","5.568113803863525","5.619191646575928","5.619191646575928","5.619191646575928","5.701807498931885","5.701807498931885","5.701807498931885","5.638330936431885","5.638330936431885","5.638330936431885"
"23","4.681308269500732","4.681308269500732","4.681308269500732","5.407072067260742","5.407072067260742","5.407072067260742","4.870601177215576","4.870601177215576","4.870601177215576","5.285109043121338","5.285109043121338","5.285109043121338","5.4449992179870605","5.4449992179870605","5.4449992179870605","5.503894805908203","5.503894805908203","5.503894805908203","5.396887302398682","5.396887302398682","5.396887302398682","5.449302673339844","5.449302673339844","5.449302673339844","5.531864643096924","5.531864643096924","5.531864643096924","5.4689154624938965","5.4689154624938965","5.4689154624938965"
"24","4.077455520629883","4.077455520629883","4.077455520629883","4.707393646240234","4.707393646240234","4.707393646240234","4.241711139678955","4.241711139678955","4.241711139678955","4.600959300994873","4.600959300994873","4.600959300994873","4.741561412811279","4.741561412811279","4.741561412811279","4.7924981117248535","4.7924981117248535","4.7924981117248535","4.698488235473633","4.698488235473633","4.698488235473633","4.744277477264404","4.744277477264404","4.744277477264404","4.816682815551758","4.816682815551758","4.816682815551758","4.761415481567383","4.761415481567383","4.761415481567383"
"25","4.5345587730407715","4.5345587730407715","4.5345587730407715","5.211512088775635","5.211512088775635","5.211512088775635","4.711984157562256","4.711984157562256","4.711984157562256","5.097434997558594","5.097434997558594","5.097434997558594","5.249338150024414","5.249338150024414","5.249338150024414","5.304483413696289","5.304483413696289","5.304483413696289","5.201976776123047","5.201976776123047","5.201976776123047","5.25105619430542","5.25105619430542","5.25105619430542","5.330661773681641","5.330661773681641","5.330661773681641","5.269419193267822","5.269419193267822","5.269419193267822"
