"Step","peachy-lake-322 - loss","peachy-lake-322 - loss__MIN","peachy-lake-322 - loss__MAX","fast-field-321 - loss","fast-field-321 - loss__MIN","fast-field-321 - loss__MAX","proud-plant-319 - loss","proud-plant-319 - loss__MIN","proud-plant-319 - loss__MAX","fresh-totem-319 - loss","fresh-totem-319 - loss__MIN","fresh-totem-319 - loss__MAX","lunar-grass-318 - loss","lunar-grass-318 - loss__MIN","lunar-grass-318 - loss__MAX","graceful-night-317 - loss","graceful-night-317 - loss__MIN","graceful-night-317 - loss__MAX","different-leaf-278 - loss","different-leaf-278 - loss__MIN","different-leaf-278 - loss__MAX","revived-durian-275 - loss","revived-durian-275 - loss__MIN","revived-durian-275 - loss__MAX","copper-sun-265 - loss","copper-sun-265 - loss__MIN","copper-sun-265 - loss__MAX","breezy-elevator-264 - loss","breezy-elevator-264 - loss__MIN","breezy-elevator-264 - loss__MAX"
"15","7.613225936889648","7.613225936889648","7.613225936889648","6.130745887756348","6.130745887756348","6.130745887756348","6.415147304534912","6.415147304534912","6.415147304534912","7.81591796875","7.81591796875","7.81591796875","7.843308448791504","7.843308448791504","7.843308448791504","6.608082294464111","6.608082294464111","6.608082294464111","7.869044780731201","7.869044780731201","7.869044780731201","8.094569206237793","8.094569206237793","8.094569206237793","8.118447303771973","8.118447303771973","8.118447303771973","8.206618309020996","8.206618309020996","8.206618309020996"
"16","6.9996843338012695","6.9996843338012695","6.9996843338012695","5.961742877960205","5.961742877960205","5.961742877960205","6.2831292152404785","6.2831292152404785","6.2831292152404785","7.22030782699585","7.22030782699585","7.22030782699585","7.3675408363342285","7.3675408363342285","7.3675408363342285","6.480661392211914","6.480661392211914","6.480661392211914","7.4743475914001465","7.4743475914001465","7.4743475914001465","7.6775383949279785","7.6775383949279785","7.6775383949279785","7.800875663757324","7.800875663757324","7.800875663757324","8.014960289001465","8.014960289001465","8.014960289001465"
"17","6.970256328582764","6.970256328582764","6.970256328582764","5.737802505493164","5.737802505493164","5.737802505493164","6.0861663818359375","6.0861663818359375","6.0861663818359375","7.275510311126709","7.275510311126709","7.275510311126709","7.445007801055908","7.445007801055908","7.445007801055908","6.278894901275635","6.278894901275635","6.278894901275635","7.524352073669434","7.524352073669434","7.524352073669434","7.695788383483887","7.695788383483887","7.695788383483887","7.755709648132324","7.755709648132324","7.755709648132324","7.9806084632873535","7.9806084632873535","7.9806084632873535"
"18","7.219583511352539","7.219583511352539","7.219583511352539","6.016819000244141","6.016819000244141","6.016819000244141","6.323966026306152","6.323966026306152","6.323966026306152","7.424618244171143","7.424618244171143","7.424618244171143","7.510251522064209","7.510251522064209","7.510251522064209","6.517856121063232","6.517856121063232","6.517856121063232","7.5989484786987305","7.5989484786987305","7.5989484786987305","7.860790252685547","7.860790252685547","7.860790252685547","7.903135299682617","7.903135299682617","7.903135299682617","8.119873046875","8.119873046875","8.119873046875"
"19","7.067978858947754","7.067978858947754","7.067978858947754","5.900913238525391","5.900913238525391","5.900913238525391","6.230515003204346","6.230515003204346","6.230515003204346","7.24441385269165","7.24441385269165","7.24441385269165","7.383136749267578","7.383136749267578","7.383136749267578","6.430047035217285","6.430047035217285","6.430047035217285","7.433525562286377","7.433525562286377","7.433525562286377","7.67170524597168","7.67170524597168","7.67170524597168","7.819028377532959","7.819028377532959","7.819028377532959","7.93845272064209","7.93845272064209","7.93845272064209"
"20","6.966358661651611","6.966358661651611","6.966358661651611","5.7476115226745605","5.7476115226745605","5.7476115226745605","6.092096328735352","6.092096328735352","6.092096328735352","7.204782962799072","7.204782962799072","7.204782962799072","7.333242416381836","7.333242416381836","7.333242416381836","6.287250995635986","6.287250995635986","6.287250995635986","7.400672435760498","7.400672435760498","7.400672435760498","7.575526714324951","7.575526714324951","7.575526714324951","7.621068954467773","7.621068954467773","7.621068954467773","7.799933433532715","7.799933433532715","7.799933433532715"
"21","6.826879978179932","6.826879978179932","6.826879978179932","5.580859184265137","5.580859184265137","5.580859184265137","5.917311668395996","5.917311668395996","5.917311668395996","7.1334967613220215","7.1334967613220215","7.1334967613220215","7.243253707885742","7.243253707885742","7.243253707885742","6.104831695556641","6.104831695556641","6.104831695556641","7.300716400146484","7.300716400146484","7.300716400146484","7.4985761642456055","7.4985761642456055","7.4985761642456055","7.518013000488281","7.518013000488281","7.518013000488281","7.709695339202881","7.709695339202881","7.709695339202881"
"22","7.098782539367676","7.098782539367676","7.098782539367676","6.100081920623779","6.100081920623779","6.100081920623779","6.455097675323486","6.455097675323486","6.455097675323486","7.4227070808410645","7.4227070808410645","7.4227070808410645","7.593383312225342","7.593383312225342","7.593383312225342","6.660882949829102","6.660882949829102","6.660882949829102","7.6370978355407715","7.6370978355407715","7.6370978355407715","7.85994291305542","7.85994291305542","7.85994291305542","7.939471244812012","7.939471244812012","7.939471244812012","8.202088356018066","8.202088356018066","8.202088356018066"
"23","7.434792518615723","7.434792518615723","7.434792518615723","6.016401767730713","6.016401767730713","6.016401767730713","6.32693338394165","6.32693338394165","6.32693338394165","7.681804656982422","7.681804656982422","7.681804656982422","7.811114311218262","7.811114311218262","7.811114311218262","6.523305892944336","6.523305892944336","6.523305892944336","7.88649320602417","7.88649320602417","7.88649320602417","7.967868804931641","7.967868804931641","7.967868804931641","7.946484565734863","7.946484565734863","7.946484565734863","8.190244674682617","8.190244674682617","8.190244674682617"
"24","6.745142459869385","6.745142459869385","6.745142459869385","5.51597261428833","5.51597261428833","5.51597261428833","5.828948497772217","5.828948497772217","5.828948497772217","7.004281520843506","7.004281520843506","7.004281520843506","7.128993511199951","7.128993511199951","7.128993511199951","6.012547969818115","6.012547969818115","6.012547969818115","7.200106143951416","7.200106143951416","7.200106143951416","7.3619890213012695","7.3619890213012695","7.3619890213012695","7.4138593673706055","7.4138593673706055","7.4138593673706055","7.540508270263672","7.540508270263672","7.540508270263672"
